"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Djibouti","DJI","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","210","220","230","240","240","250","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","270","270","270","270","270","","","",
"Dominica","DMA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","30","30","30","20","20","30","30","30","30","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","","",
"Dinamarca","DNK","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7190","7050","6590","6620","6510","6540","6480","6490","6320","6370","6370","6190","6010","6130","5420","5310","5230","5200","5220","4920","4840","4810","4850","4760","4940","5100","5080","5080","4740","","","",
"República Dominicana","DOM","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1910","2050","2020","2030","2080","2110","2210","2270","2250","2120","2130","2260","2530","2420","2620","2610","2770","2960","2920","2990","3110","3070","2970","2990","3020","3140","3210","3280","3390","","","",
"Argelia","DZA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4960","4730","4710","4610","4240","4160","4270","4150","4720","4650","7400","7560","7370","7610","8280","7660","8010","8010","7700","8260","8510","9110","10030","10580","11310","11870","11890","11920","12110","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","445130","453500","462760","455000","472740","517100","547070","517570","529090","546270","540570","541370","563390","570630","588100","595810","610550","626610","641780","663920","675550","684170","699980","713620","729590","746500","753710","755080","752830","","","",
"inicial del dividendo demográfico","EAR","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","553920","555560","565750","565930","574680","591510","609460","621890","638000","645620","653790","661370","665020","680120","697890","719390","743580","763590","775400","788850","810350","829290","828390","838380","841630","849780","865900","883490","891200","","","",
"Asia oriental y el Pacífico","EAS","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573910","582210","594730","588460","609950","657150","682670","654100","668400","697780","703670","711660","726550","696870","739990","722830","755090","756670","755230","779610","779700","841650","857880","828760","857580","870800","863750","887670","883270","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270920","250990","225990","211500","189600","180120","171800","167620","158570","153420","154720","157200","161790","160330","160030","161580","164000","165040","170260","170430","170770","177430","175640","180520","183800","185210","191460","195480","193240","","","",
"Europa y Asia central","ECS","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641030","611360","571310","550380","534310","522550","523110","514890","485490","460250","457400","458150","456330","453800","454980","449750","442410","447090","439260","422660","415300","413910","412470","417420","422230","425420","429430","433510","428650","","","",
