"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cuba","CUB","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35410","27430","22090","20090","21610","23080","25030","27400","26950","27830","28200","27190","25960","25230","24970","25860","26300","27200","26310","27100","30260","28540","28850","27350","26880","27490","28450","25650","24970","","","",
"Curacao","CUW","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4560","5070","5430","5690","5930","5800","6160","6250","6550","6810","7070","6930","7110","7770","7710","7870","7940","8240","8400","8180","7820","7550","7020","6380","6750","6780","7150","7300","7230","","","",
"República Checa","CZE","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150200","136900","134140","130980","124710","125180","126740","124790","118920","111950","123170","122720","118530","122770","123440","120000","120600","123630","118310","111170","113930","110980","107170","102720","99750","100980","102860","103420","102480","","","",
"Alemania","DEU","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","955310","932370","892750","887010","875810","873090","902750","870900","863140","833350","830080","847500","833180","836550","820830","802170","814160","783600","789550","734660","772920","746380","760020","777630","737490","742310","747150","732200","709540","","","",
"Djibouti","DJI","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330","340","340","340","330","330","340","350","350","350","370","380","400","410","400","430","430","470","470","460","520","480","510","560","460","540","490","470","490","","","",
"Dominica","DMA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","80","80","80","100","80","100","110","110","130","150","120","140","160","160","170","180","180","500","180","170","250","170","180","180","180","170","180","","","",
"Dinamarca","DNK","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52080","62730","57010","59290","63190","59920","73300","63720","59740","56960","52710","53850","53980","59340","53890","50270","58210","53400","50120","47890","48180","43090","38210","39980","35760","33600","35380","33330","33380","","","",
"República Dominicana","DOM","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7860","8230","9620","9520","11140","11850","12730","14500","16610","17790","18660","18970","20870","18720","17250","18660","20320","20580","20540","19630","20640","20870","21640","21250","21320","23450","24460","23390","25120","","","",
"Argelia","DZA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67890","66940","66160","73470","71550","73050","71410","72830","74540","77540","78590","74770","80410","83840","84890","88990","93750","100520","103990","112770","113140","118140","126640","129910","138810","145970","143350","145100","151670","","","",
